"ID_EMPRESA";"NEMO";"NAME";"CATEGORY";"PRECIO_ULT"
"EXT412";"PKG";"Packaging Corporation of America";"EXTRANJERA";
"EXT413";"PAYC";"Paycom Software";"EXTRANJERA";134,75
"EXT414";"GL";"Globe Life";"EXTRANJERA";140,220001220703
"EXT415";"EPAM";"EPAM Systems";"EXTRANJERA";208,600006103516
"EXT416";"LH";"Labcorp";"EXTRANJERA";271,519989013672
"EXT417";"FRT";"Federal Realty";"EXTRANJERA";101,160003662109
"EXT418";"PH";"Parker-Hannifin";"EXTRANJERA";935,840026855469
"EXT419";"BLK";"BlackRock";"EXTRANJERA";1118,93994140625
"EXT420";"MPWR";"Monolithic Power Systems";"EXTRANJERA";1124,15002441406
"EXT421";"WST";"West Pharmaceutical Services";"EXTRANJERA";231,119995117188
"EXT422";"CINF";"Cincinnati Financial";"EXTRANJERA";160,889999389648
"EXT423";"ROP";"Roper Technologies";"EXTRANJERA";371,230010986328
"EXT424";"DPZ";"Domino's Pizza";"EXTRANJERA";410,329986572266
"EXT425";"JKHY";"Jack Henry & Associates";"EXTRANJERA";179,210006713867
"EXT426";"AVY";"Avery Dennison";"EXTRANJERA";185,509994506836
"EXT427";"URI";"United Rentals";"EXTRANJERA";782,059997558594
"EXT428";"AXON";"Axon Enterprise";"EXTRANJERA";483,579986572266
"EXT429";"WTW";"Willis Towers Watson";"EXTRANJERA";317,470001220703
"EXT430";"IEX";"IDEX Corporation";"EXTRANJERA";198,550003051758
